"sentID","SentenceContext","sentenceClosure","compLower","popularity","nComp","percent","above70","comp.det","comp.noun","Lg10WF"
33,"Om acht uur 's avonds zitten mijn ouders altijd voor de televisie. Ze kijken dan naar","zodat ze op de hoogte blijven van wat er speelt.","het journaal",45,52,86.5384615384615,1,"het","journaal",2.1139
34,"Vanavond gaan we vroeg naar bed want morgenochtend gaat om zes uur","en dat is vroeg.","de wekker",51,52,98.0769230769231,1,"de","wekker",2.1903
35,"Ik weet niet uit mijn hoofd wat de gegevens waren, maar je kunt het document opzoeken op","als je dat wilt.","het internet",25,47,53.1914893617021,0,"het","internet",2.8768
36,"De melk was op, dus dat heb ik nog even snel gehaald in","vlak voor sluitingstijd.","de supermarkt",38,52,73.0769230769231,1,"de","supermarkt",2.5809
37,"Na de moord was de onderzoeker al snel op de plaats delict om de verwondingen op","te bestuderen.","het lichaam",21,48,43.75,0,"het","lichaam",3.8098
38,"Na afloop van de voorstelling maakte de toneelgroep een buiging onder luid applaus van","in de zaal.","het publiek",45,48,93.75,1,"het","publiek",3.2629
39,"De nieuwe film van die acteur draait nu in","in de stad.","de bioscoop",43,49,87.7551020408163,1,"de","bioscoop",2.6702
40,"In de zomer zetten wij altijd een groot opblaaszwembad in","om af te koelen.","de tuin",48,49,97.9591836734694,1,"de","tuin",3.2052
41,"In het zwembad wordt er altijd goed opgelet door","om zo ongelukken te voorkomen.","de badmeester",41,49,83.6734693877551,1,"de","badmeester",1.5051
42,"Toen Martijn ontdekte dat zijn portemonnee was gestolen, belde hij snel","om aangifte te doen.","de politie",49,49,100,1,"de","politie",4.1801
43,"De laatste gewonnen wedstrijd was voor het voetbalteam de kers op","na een mooi seizoen.","de taart",47,49,95.9183673469388,1,"de","taart",3.1374
44,"De juwelier bergt de sieraden 's avonds veilig op in","achter de kassa.","de kluis",45,49,91.8367346938776,1,"de","kluis",3.1892
45,"Haar batterij was bijna leeg, dus ze stopte de oplader van haar telefoon in","om deze op te laden.","het stopcontact",44,48,91.6666666666667,1,"het","stopcontact",1.7559
46,"Arnold wilde niet dat mensen door het raam naar binnen konden kijken, dus deed hij","dicht.","de gordijnen",40,49,81.6326530612245,1,"de","gordijnen",2.6117
47,"Alle net uitgebrachte boeken zijn vaak al binnen twee weken te leen bij","in de stad.","de bibliotheek",43,48,89.5833333333333,1,"de","bibliotheek",2.9355
48,"Als je trek hebt, kun je een koekje uit","pakken.","de trommel",31,47,65.9574468085106,0,"de","trommel",1.9138
49,"De studenten probeerden met kaas en muizenvallen","te vangen.","de muizen",36,48,75,1,"de","muizen",2.3909
50,"En ze leefden nog lang en gelukkig' was het einde van","over de prinses en de draak.","het sprookje",36,48,75,1,"het","sprookje",2.4281
51,"Als ik op vakantie naar een ver land ga, reis ik altijd met","vanaf Schiphol.","het vliegtuig",41,47,87.2340425531915,1,"het","vliegtuig",3.5947
52,"Om de kluis te vinden, keek de inbreker als eerste achter","in de woonkamer.","het schilderij",29,49,59.1836734693878,0,"het","schilderij",2.9741
53,"In de oldtimer met blikjes eraan zat","onderweg naar hun huwelijksfeest.","het bruidspaar",34,47,72.3404255319149,1,"het","bruidspaar",1.6232
54,"Adriaan haalde zijn nieuwe medicijnen op bij","met een herhaalrecept.","de apotheek",43,49,87.7551020408163,1,"de","apotheek",2.29
55,"Kelly kon haar vriend niet verstaan door de telefoon, zo slecht was","in de supermarkt.","het bereik",21,48,43.75,0,"het","bereik",2.8476
56,"Om het echt Italiaans te laten smaken, gooi ik pesto in","samen met verschillende groenten.","de pasta",18,48,37.5,0,"de","pasta",2.415
57,"Toen Vincent thuis kwam, hing hij zijn jas aan","in de gang.","de kapstok",48,49,97.9591836734694,1,"de","kapstok",1.5051
58,"De poster van mijn lievelingsband hang ik op een mooie plek in mijn kamer aan",", met dubbelzijdig plakband.","de muur",47,49,95.9183673469388,1,"de","muur",3.4663
59,"Door de opkomst van de computer, kun je tegenwoordig binnen een paar seconden bijna alle informatie vinden op","zonder al teveel moeite.","het internet",46,47,97.8723404255319,1,"het","internet",2.8768
60,"Ze waren goed bediend, dus het stel liet een flinke fooi achter voor","op de tafel bij de rekening.","de ober",20,49,40.8163265306122,0,"de","ober",2.6425
61,"In het restaurant schonk de ober de wijn in","om te proeven.","het glas",19,47,40.4255319148936,0,"het","glas",3.3979
62,"Om de betekenis van dat woord te achterhalen, zocht ze het op in","uit haar moeders boekenkast.","het woordenboek",45,49,91.8367346938776,1,"het","woordenboek",2.2095
63,"Verkeersborden zijn heel belangrijk in","voor ieders veiligheid.","het verkeer",45,48,93.75,1,"het","verkeer",2.8254
64,"De secretaresse van de directeur schreef de notulen tijdens","snel op.","de vergadering",40,48,83.3333333333333,1,"de","vergadering",3.1455
65,"Ronald heeft niet veel geluk in de liefde, maar in","is hij wel gelukkig.","het spel",22,48,45.8333333333333,0,"het","spel",3.6191
66,"Veel mensen gaan wekelijks gokken in","maar ze verliezen bijna altijd.","het casino",39,49,79.5918367346939,1,"het","casino",2.8488
67,"Tijdens de korte pauze was Aafke nog op het schoolplein toen","al ging.","de bel",45,49,91.8367346938776,1,"de","bel",4.1345
68,"Na het dagje uit besloten de dames nog een drankje te doen in","op de hoek van de straat.","het cafe",40,49,81.6326530612245,1,"het","cafe",1.7559
69,"Michael heeft net nieuwe boxen voor zijn televisie gekocht waardoor","nu nog beter klinkt.","het geluid",36,46,78.2608695652174,1,"het","geluid",3.3176
70,"Andrea en Evelien gingen samen fitnessen in","bij hen in de buurt.","de sportschool",35,49,71.4285714285714,1,"de","sportschool",2.1399
71,"De baby was eindelijk in slaap gevallen, dus Kristiaan legde haar in","in haar slaapkamer.","de wieg",21,46,45.6521739130435,0,"de","wieg",2.2577
72,"Ik ben erg ge´nteresseerd in de sterren en planeten en kijk 's avonds vaak naar de sterren door","op onze zolderkamer.","de telescoop",23,49,46.9387755102041,0,"de","telescoop",2.0531
73,"Maarten zit veel achter zijn computer en staart vaak uren naar","op zijn bureau.","het scherm",35,53,66.0377358490566,0,"het","scherm",2.7774
74,"Voor ze de deur uitgaat maakt Nikki zichzelf altijd op voor","in haar kamer.","de spiegel",49,52,94.2307692307692,1,"de","spiegel",3.0795
75,"December is mijn favoriete maand van","vanwege de sneeuw en de gezelligheid.","het jaar",53,53,100,1,"het","jaar",4.5231
76,"Toen de hongerige klanten hun plek in het restaurant gekozen hadden, vroegen zij snel naar","met alle heerlijke gerechten.","de menukaart",22,52,42.3076923076923,0,"de","menukaart",1.5185
77,"Alle ingrediïnten voor het gerecht had Lisanne in de keuken op","gelegd.","het aanrecht",48,52,92.3076923076923,1,"het","aanrecht",1.8633
78,"We zagen heel lang geen oplossing, maar we lijken nu eindelijk licht aan het einde van","te gaan zien.","de duisternis",16,52,30.7692307692308,0,"de","duisternis",2.9605
79,"Roodkapje liep door het bos naar het huis van haar oma, maar achter de bomen wachtte","op haar.","de wolf",42,45,93.3333333333333,1,"de","wolf",2.9479
80,"Toen hij hoorde dat hij zijn examen gehaald had, sprong hij een gat in","van blijdschap.","de lucht",53,53,100,1,"de","lucht",3.5903
81,"Toen we een paar weken weggingen gaven we de sleutel aan de buurvrouw, zodat zij op","kon passen.","het huis",22,53,41.5094339622642,0,"het","huis",4.554
82,"We stonden op het punt om naar het vliegveld te vertrekken. Mijn moeder deed onze koffers in","en sloot de deur.","de auto",30,53,56.6037735849057,0,"de","auto",4.3017
83,"Karel heeft honderd euro aan Frank geleend, dus staat Frank nu bij Karel in","en werkt hij hard om het terug te verdienen.","het krijt",40,53,75.4716981132076,1,"het","krijt",2.7143
84,"De vergadering ging grotendeels zoals verwacht, alleen het nieuws van Jan kwam nogal onverwachts uit","en dus schrokken wij.","de hoek",43,50,86,1,"de","hoek",3.3393
85,"E_n van de meest typische lastdieren in de woestijn is natuurlijk","met zijn bulten.","de kameel",49,52,94.2307692307692,1,"de","kameel",2.0755
86,"Door de storm en het onweer viel in huis","uit.","de stroom",36,53,67.9245283018868,0,"de","stroom",3.1163
87,"Nadat ik naar het buitenland vertrok, heb ik nooit meer iets van haar gehoord. Het is bij haar altijd uit het oog uit","en dat vind ik wel heel jammer.","het hart",50,53,94.3396226415094,1,"het","hart",3.9339
88,"Het is niet eerlijk om tijdens een ruzie oude koeien uit","te halen.","de sloot",51,53,96.2264150943396,1,"de","sloot",2.6758
89,"Sommige mensen hebben altijd pech, die vissen altijd achter","en dat is best sneu.","het net",51,52,98.0769230769231,1,"het","net",4.6431
90,"Het was snikheet in de auto toen zij in de file stonden, dus zette Fiona","aan.","de airco",41,53,77.3584905660377,1,"de","airco",2.3139
91,"Hij had niets bij zich om zijn sigaret mee aan te steken en daarom vroeg hij","aan zijn vriend.","een aansteker",33,50,66,0,"een","aansteker",2.4031
92,"De huur van je kamer wordt altijd afgeschreven aan het begin van","waarin je huurt.","de maand",52,53,98.1132075471698,1,"de","maand",3.6124
93,"Na het optreden werd de popster met de limousine teruggebracht naar","waar zij sliep.","het hotel",50,53,94.3396226415094,1,"het","hotel",3.5889
94,"Nadat de politie dagenlang de verdachte had verhoord, kwam eindelijk de aap uit",", wat het een stuk gemakkelijker maakte om de medeplichtige te vinden.","de mouw",53,53,100,1,"de","mouw",2.2648
95,"Omdat Peter net de loterij heeft gewonnen smijt hij zijn geld nu over",", omdat het kan.","de balk",46,53,86.7924528301887,1,"de","balk",1.9031
96,"De deurwaarder stond voor de deur, omdat Marc na twee waarschuwingen nog steeds","niet had betaald.","de rekening",24,53,45.2830188679245,0,"de","rekening",3.3915
97,"Zijn schoolcijfers zijn ontzettend slecht, hij gooit er echt met","naar.","de pet",45,52,86.5384615384615,1,"de","pet",2.7619
98,"In het dorp luidt elke zondagochtend de klok van","erg hard.","de kerk",44,53,83.0188679245283,1,"de","kerk",3.5412
99,"Met de protestactie probeert de padvindersclub de aandacht van de gemeente te trekken voor de bescherming van","rondom het dorp.","de natuur",26,51,50.9803921568627,0,"de","natuur",3.0719
100,"Op de radio is eerder gemeld dat de wegen glad zouden worden, maar deze waarschuwing sloeg Jan in","toen hij de weg opging.","de wind",46,53,86.7924528301887,1,"de","wind",3.345
101,"De grote spin in het raam joeg haar de stuipen op","toen ze hem ontdekte.","het lijf",51,53,96.2264150943396,1,"het","lijf",3.0149
102,"Iedereen had ontzettend veel zin in de picknick, maar het weer gooide helaas roet in","voor die dag.","het eten",52,53,98.1132075471698,1,"het","eten",4.2901
103,"Om de prinses te redden uit de toren moest de ridder het eerst opnemen tegen","maar dat had hij ervoor over.","de draak",39,52,75,1,"de","draak",2.8727
104,"De wandeltocht zou beginnen aan de voet van","om 8 uur 's ochtends.","de berg",46,52,88.4615384615385,1,"de","berg",3.1764
105,"De gevangenen bleken ontsnapt te zijn door het doorzagen van","met een nagelvijl.","de tralies",38,53,71.6981132075472,1,"de","tralies",2.4955
106,"De schoonmaakster onderhoudt het hele huis behalve de tuin, dat is de taak van","en zijn snoeischaar.","de tuinman",49,53,92.4528301886792,1,"de","tuinman",2.4099
107,"Die stunt van Jan ging maar net goed. Hij kroop door het oog van","maar gelukkig mankeert hij niks.","de naald",53,53,100,1,"de","naald",2.5717
108,"Toen het water voor de pasta begon te koken, haalde ik snel de deksel van","zodat het niet over zou koken.","de pan",55,58,94.8275862068966,1,"de","pan",2.6138
109,"Het eerste wat Isabella bekeek in haar nieuwe appartement was het prachtige uitzicht vanaf","vanwaar ze kon uitkijken over de hele stad.","het balkon",44,58,75.8620689655172,1,"het","balkon",2.4639
110,"Bij de opening van de nieuwe brug was de koningin uitgenodigd voor het doorknippen van","en een toespraak.","het lint",44,58,75.8620689655172,1,"het","lint",2.5441
111,"Na de salarisonderhandelingen tekende de werknemer","met zijn nieuwe werkgever.","het contract",48,58,82.7586206896552,1,"het","contract",3.1912
112,"Na de schietpartij gebruikte de detective een vergrootglas om sporen van vingerafdrukken op","te vinden.","het wapen",15,49,30.6122448979592,0,"het","wapen",3.7888
113,"Tijdens zijn wandeling langs het spoor schrok Jan zich een hoedje door het plotselinge getoeter van","omdat hij helemaal in zijn gedachten verzonken was.","de trein",42,58,72.4137931034483,1,"de","trein",3.5051
114,"Voor zijn verjaardag had Hendrik een bioscoopbon gekregen. Een week later ging hij daarmee naar","met zijn vrienden.","de bioscoop",55,58,94.8275862068966,1,"de","bioscoop",2.6702
115,"Doordat het caf_ niet over genoeg parasols beschikte was er helaas maar weinig schaduw op","waar we wilden zitten.","het terras",36,58,62.0689655172414,0,"het","terras",2.1492
116,"De stroom leek plotseling uitgevallen, dus checkte Karel even de stoppen in","op de gang.","de meterkast",46,58,79.3103448275862,1,"de","meterkast",1.2788
117,"Voor de pauze sprak ik met mijn collega's af te gaan lunchen in","op het werk.","de kantine",43,58,74.1379310344828,1,"de","kantine",2.2989
118,"De student studeerde de hele nacht voor","van de volgende morgen.","het tentamen",44,58,75.8620689655172,1,"het","tentamen",1.6902
119,"Marie hield erg van de muziek van Coldplay, dus voor haar verjaardag nam haar vriend haar mee naar","in het stadion.","een concert",26,58,44.8275862068966,0,"een","concert",2.7875
120,"Marc had veel te weinig tijd om het hele boek te lezen voor zijn literatuurtentamen en las daarom alleen","op internet, waarin de belangrijkste informatie opgesomd stond.","de samenvatting",41,58,70.6896551724138,1,"de","samenvatting",1.716
121,"Agnes was op vakantie erg bruin geworden van","en zag er uitgerust uit.","de zon",45,58,77.5862068965517,1,"de","zon",3.4777
122,"Als je altijd te laat thuis bent voor het eten, vind je vaak de hond in","en dan heb je pech.","de pot",49,58,84.4827586206897,1,"de","pot",3.1271
123,"Ik vind het erg zielig dat leeuwen in zulke kleine kooien leven in","terwijl het wilde dieren zijn.","de dierentuin",43,51,84.3137254901961,1,"de","dierentuin",2.6222
124,"Om die ene lekkere biefstuk te eten spraken Jim en Roos af bij","waar zij graag kwamen.","het restaurant",54,58,93.1034482758621,1,"het","restaurant",3.262
125,"Sam lijkt erg op zijn vader, een typisch geval van de appel valt niet ver van","als je het mij vraagt.","de boom",56,56,100,1,"de","boom",3.3591
126,"Wij wilden op zijn verjaardag proosten. We ontpopten daarom met veel geluid","en zetten de hapjes op tafel.","de champagne",41,54,75.9259259259259,1,"de","champagne",3.1807
127,"Tarzan en George slingeren als apen aan lianen door","alsof het niets is.","de jungle",28,58,48.2758620689655,0,"de","jungle",2.8915
128,"Alle belangrijke informatie van de Belastingsdienst stond in","over de nieuwe regelingen.","de brief",22,58,37.9310344827586,0,"de","brief",3.5092
129,"Sophie dekte de tafel. Ze begon met de borden en de glazen en daarna legde zij keurig","in de juiste volgorde op tafel.","het bestek",57,58,98.2758620689655,1,"het","bestek",1.9542
130,"Frans en Stijn bezoeken alle wedstrijden van hun favoriete voetbalclub en vertrekken altijd op tijd naar","om een goede plek te bemachtigen.","het stadion",50,58,86.2068965517241,1,"het","stadion",2.3692
131,"Tijdens de treinrit werd ons kaartje gecontroleerd door","met de grote snor.","de conducteur",42,58,72.4137931034483,1,"de","conducteur",1.9395
132,"Er zijn wel bijna tweehonderd verschillende landen op","waar ik maar slechts een klein deel van heb gezien.","de wereld",50,58,86.2068965517241,1,"de","wereld",4.2363
133,"De doktersassistente vroeg mij plaats te nemen in","voordat de dokter mij zou komen halen.","de wachtkamer",45,58,77.5862068965517,1,"de","wachtkamer",1.9731
134,"Bart en Sara liepen in het park met hun baby in","naar de vijver.","de kinderwagen",47,57,82.4561403508772,1,"de","kinderwagen",1.7076
135,"Elk jaar op Prinsjesdag rijdt de koning door Den Haag in","en zwaait hij door het raam naar de mensen langs de kant.","de koets",40,58,68.9655172413793,0,"de","koets",2.5105
136,"De trein kwam tien minuten later dan verwacht aan op","van Den Haag.","het station",53,58,91.3793103448276,1,"het","station",3.0888
137,"Toen mijn ouders een weekendje weg waren, vroeg mijn vader aan de buurvrouw of zij een oogje in","wilde houden.","het zeil",53,58,91.3793103448276,1,"het","zeil",2.4814
138,"De kleding die Karin online besteld had, werd de volgende dag bezorgd door","op de fiets.","de postbode",29,58,50,0,"de","postbode",2.4409
139,"Met Sinterklaas doen wij altijd surprises, waarbij je begint met het voorlezen van","en daarna de surprise openmaakt.","een gedicht",28,57,49.1228070175439,0,"een","gedicht",2.8096
140,"De bejaarden bekeken veel schilderijen van Rembrandt die tentoongesteld werden in","in het centrum van de stad.","het museum",52,58,89.6551724137931,1,"het","museum",2.9201
141,"Bij thuiskomst stak Dirk de sleutel in","om naar binnen te gaan.","het slot",48,58,82.7586206896552,1,"het","slot",3.3608
142,"Meester Jansen werkt al dertig jaar op dezelfde school, hij is echt een oude rot in","en dat merk je wel aan zijn omgang met zijn collega's.","het vak",46,58,79.3103448275862,1,"het","vak",2.9841
